country,year,gdp_growth,inflation,current_account_gdp,external_debt_gni,foreign_reserves_months,trade_balance_gdp,unemployment,real_interest_rate,broad_money_growth
Malaysia,2001,0.517675319192861,1.41678473206098,7.85355934414698,,3.77910372568466,17.4403467024412,3.53,8.84851289556281,11.6359105759612
Malaysia,2002,5.39098830692797,1.80787246281536,7.12945542035369,,4.03512981463616,17.2543728944477,3.48,3.29631237075616,4.48402432914587
Malaysia,2003,5.7884992858875,1.08967632577286,12.1423505560344,,5.007262129418,19.6917632393993,3.61,2.90603239825627,8.6271799396196
Malaysia,2004,6.78343772370305,1.42127115937402,12.0877738119346,,6.16483766943989,20.372409545025,3.54,0.0344787905461849,12.6871027279104
Malaysia,2005,5.33213916141486,2.97507092684449,13.9199700905602,,5.94300135813715,21.9433089639389,3.53,-2.67317410418221,8.79316995043841
Malaysia,2006,5.5848470671515,3.60923564224389,16.1037222225662,,6.20407077455397,21.793814847583,3.32,2.40900097691566,13.6310078113537
Malaysia,2007,6.29878592740947,2.02735317779569,15.3811208611024,,6.70420376771247,19.8710433763189,3.31,1.45673534665713,7.92253576816132
Malaysia,2008,4.83176988913097,5.44078221100769,16.8597967039905,,5.5892632154465,22.3308297043051,3.34,-3.90338193758431,10.535425110552
Malaysia,2009,-1.51352871598714,0.583308405623702,15.7230105263055,,7.24461462096016,20.2746132814856,3.62,11.7823929563059,7.73992812591865
Malaysia,2010,7.42484738326097,1.62285235577035,10.0556778509323,,6.34115209858424,15.9158252519375,3.32,-2.11327732642702,7.34773605081976
Malaysia,2011,5.29391283414003,3.1744709215131,10.905001967915,,6.91559543869623,15.5731996099735,3.05,-0.471868633960644,14.6279382858505
Malaysia,2012,5.47345419253853,1.66357102479206,5.18877994987762,,6.96382782004854,10.758073085049,3.04,3.7484193736755,8.84601972895075
Malaysia,2013,4.69372252557893,2.10501231233612,3.46614353655811,,6.66725243910912,8.53709059565252,3.14,4.46753081745693,7.39740068231736
